week,state,value
2021-07-17,Minnesota,0.24561403508771928
2021-07-17,Mississippi,1.6206896551724137
2021-07-17,Missouri,2.7419354838709675
2021-07-17,Montana,No Data
2021-07-17,Nebraska,No Data
2021-07-17,Nevada,2.375
2021-07-17,New Hampshire,No Data
2021-07-17,New Jersey,0.3333333333333333
2021-07-17,New Mexico,No Data
2021-07-17,New York,0.25
2021-07-17,North Carolina,0.5092592592592593
2021-07-17,North Dakota,No Data
2021-07-17,Ohio,0.4322033898305085
2021-07-17,Oklahoma,0.975609756097561
2021-07-17,Oregon,0.5
2021-07-17,Pennsylvania,0.3076923076923077
2021-07-17,Puerto Rico,No Data
2021-07-17,Rhode Island,0.0
2021-07-17,South Carolina,0.3888888888888889
2021-07-17,South Dakota,No Data
2021-07-17,Tennessee,0.5352112676056338
2021-07-17,Texas,0.760655737704918
2021-07-17,Utah,0.5294117647058824
2021-07-17,Vermont,0.0
2021-07-17,Virginia,0.28735632183908044
2021-07-17,Washington,0.32051282051282054
2021-07-17,West Virginia,No Data
2021-07-17,Wisconsin,0.1864406779661017
2021-07-17,Wyoming,No Data
2021-07-24,Alabama,1.2352941176470589
2021-07-24,Alaska,No Data
2021-07-24,Arizona,0.9459459459459459
2021-07-24,Arkansas,3.774193548387097
2021-07-24,California,0.5461538461538461
2021-07-24,Colorado,0.7627118644067796
2021-07-24,Connecticut,No Data
2021-07-24,Delaware,No Data
2021-07-24,Maryland,0.27941176470588236
2021-07-24,Florida,2.146017699115044
2021-07-24,Georgia,0.7
2021-07-24,Hawaii,No Data
2021-07-24,Idaho,0.9
2021-07-24,Illinois,0.36
2021-07-24,Indiana,0.4492753623188406
2021-07-24,Iowa,0.46875
2021-07-24,Kansas,1.0
2021-07-24,Kentucky,1.0888888888888888
2021-07-24,Louisiana,2.0652173913043477
2021-07-24,Maine,No Data
2021-07-24,Massachusetts,0.35714285714285715
2021-07-24,Michigan,0.33
2021-07-24,Minnesota,0.17543859649122806
2021-07-24,Mississippi,2.1379310344827585
2021-07-24,Missouri,3.2580645161290325
2021-07-24,Montana,1.1818181818181819
2021-07-24,Nebraska,0.75
2021-07-24,Nevada,2.84375
2021-07-24,New Hampshire,No Data
2021-07-24,New Jersey,0.3010752688172043
2021-07-24,New Mexico,0.5238095238095238
2021-07-24,New York,0.24489795918367346
2021-07-24,North Carolina,0.7314814814814815
2021-07-24,North Dakota,No Data
2021-07-24,Ohio,0.4406779661016949
2021-07-24,Oklahoma,1.3902439024390243
2021-07-24,Oregon,0.5714285714285714
2021-07-24,Pennsylvania,0.24615384615384617
2021-07-24,Puerto Rico,No Data
2021-07-24,Rhode Island,No Data
2021-07-24,South Carolina,0.6481481481481481
2021-07-24,South Dakota,No Data
2021-07-24,Tennessee,1.0985915492957747
2021-07-24,Texas,1.1344262295081968
2021-07-24,Utah,0.8235294117647058
2021-07-24,Vermont,0.0
2021-07-24,Virginia,0.19540229885057472
2021-07-24,Washington,0.44871794871794873
2021-07-24,West Virginia,No Data
2021-07-24,Wisconsin,0.1694915254237288
2021-07-24,Wyoming,2.6666666666666665
2021-07-31,Alabama,2.1372549019607843
2021-07-31,Alaska,2.2857142857142856
2021-07-31,Arizona,1.4864864864864864
2021-07-31,Arkansas,4.580645161290323
2021-07-31,California,0.7564102564102564
2021-07-31,Colorado,0.7457627118644068
2021-07-31,Connecticut,No Data
2021-07-31,Delaware,No Data
2021-07-31,Maryland,0.29411764705882354
2021-07-31,Florida,3.982300884955752
2021-07-31,Georgia,1.1
2021-07-31,Hawaii,No Data
2021-07-31,Idaho,1.0
2021-07-31,Illinois,0.616
2021-07-31,Indiana,0.7391304347826086
2021-07-31,Iowa,0.5
2021-07-31,Kansas,1.6551724137931034
2021-07-31,Kentucky,1.7333333333333334
2021-07-31,Louisiana,3.5217391304347827
2021-07-31,Maine,No Data
2021-07-31,Massachusetts,0.24285714285714285
2021-07-31,Michigan,0.35
2021-07-31,Minnesota,0.3508771929824561
2021-07-31,Mississippi,3.1724137931034484
2021-07-31,Missouri,3.661290322580645
2021-07-31,Montana,1.5454545454545454
2021-07-31,Nebraska,0.85
2021-07-31,Nevada,4.34375
2021-07-31,New Hampshire,No Data
2021-07-31,New Jersey,0.3548387096774194
2021-07-31,New Mexico,0.5714285714285714
2021-07-31,New York,0.33163265306122447
2021-07-31,North Carolina,1.1574074074074074
2021-07-31,North Dakota,No Data
2021-07-31,Ohio,0.5084745762711864
2021-07-31,Oklahoma,2.317073170731707
2021-07-31,Oregon,0.7857142857142857
2021-07-31,Pennsylvania,0.36153846153846153
2021-07-31,Puerto Rico,0.026
2021-07-31,Rhode Island,No Data
2021-07-31,South Carolina,1.0185185185185186
2021-07-31,South Dakota,No Data
2021-07-31,Tennessee,1.3380281690140845
2021-07-31,Texas,1.6950819672131148
2021-07-31,Utah,1.1176470588235294
2021-07-31,Vermont,0.0
2021-07-31,Virginia,0.5172413793103449
2021-07-31,Washington,0.6282051282051282
2021-07-31,West Virginia,1.0
2021-07-31,Wisconsin,0.3898305084745763
2021-07-31,Wyoming,1.6666666666666667
2021-08-07,Alabama,4.431372549019608
2021-08-07,Alaska,3.7142857142857144
2021-08-07,Arizona,1.7162162162162162
2021-08-07,Arkansas,6.129032258064516
2021-08-07,California,1.117948717948718
2021-08-07,Colorado,0.711864406779661
2021-08-07,Connecticut,0.3888888888888889
2021-08-07,Delaware,No Data
2021-08-07,Maryland,0.4117647058823529
2021-08-07,Florida,6.672566371681416
2021-08-07,Georgia,2.3454545454545452
2021-08-07,Hawaii,1.2142857142857142
2021-08-07,Idaho,1.55
2021-08-07,Illinois,0.768
2021-08-07,Indiana,1.1159420289855073
2021-08-07,Iowa,0.84375
2021-08-07,Kansas,3.0689655172413794
2021-08-07,Kentucky,2.0
2021-08-07,Louisiana,6.826086956521739
2021-08-07,Maine,No Data
2021-08-07,Massachusetts,0.2571428571428571
2021-08-07,Michigan,0.43
2021-08-07,Minnesota,0.38596491228070173
2021-08-07,Mississippi,6.241379310344827
2021-08-07,Missouri,5.112903225806452
2021-08-07,Montana,1.0909090909090908
2021-08-07,Nebraska,1.45
2021-08-07,Nevada,4.71875
2021-08-07,New Hampshire,0.0
2021-08-07,New Jersey,0.43010752688172044
2021-08-07,New Mexico,1.380952380952381
2021-08-07,New York,0.4744897959183674
2021-08-07,North Carolina,1.6203703703703705
2021-08-07,North Dakota,No Data
2021-08-07,Ohio,0.6779661016949152
2021-08-07,Oklahoma,3.902439024390244
2021-08-07,Oregon,1.4047619047619047
2021-08-07,Pennsylvania,0.5769230769230769
2021-08-07,Puerto Rico,0.07
2021-08-07,Rhode Island,No Data
2021-08-07,South Carolina,2.0925925925925926
2021-08-07,South Dakota,No Data
2021-08-07,Tennessee,2.3380281690140845
2021-08-07,Texas,2.7967213114754097
2021-08-07,Utah,1.3529411764705883
2021-08-07,Vermont,No Data
2021-08-07,Virginia,0.6666666666666666
2021-08-07,Washington,1.0256410256410255
2021-08-07,West Virginia,1.4444444444444444
2021-08-07,Wisconsin,0.576271186440678
2021-08-07,Wyoming,2.1666666666666665
2021-08-14,Alabama,6.764705882352941
2021-08-14,Alaska,3.2857142857142856
2021-08-14,Arizona,2.189189189189189
2021-08-14,Arkansas,7.516129032258065
2021-08-14,California,1.735897435897436
2021-08-14,Colorado,1.0847457627118644
2021-08-14,Connecticut,0.7777777777777778
2021-08-14,Delaware,No Data
2021-08-14,Maryland,0.47058823529411764
2021-08-14,Florida,9.619469026548673
2021-08-14,Georgia,4.345454545454546
2021-08-14,Hawaii,1.7857142857142858
2021-08-14,Idaho,2.15
2021-08-14,Illinois,0.968
2021-08-14,Indiana,1.5797101449275361
2021-08-14,Iowa,1.09375
2021-08-14,Kansas,2.8620689655172415
2021-08-14,Kentucky,3.3333333333333335
2021-08-14,Louisiana,8.869565217391305
2021-08-14,Maine,No Data
2021-08-14,Massachusetts,0.5571428571428572
2021-08-14,Michigan,0.87
2021-08-14,Minnesota,0.5087719298245614
2021-08-14,Mississippi,7.931034482758621
2021-08-14,Missouri,5.129032258064516
2021-08-14,Montana,2.4545454545454546
2021-08-14,Nebraska,1.1
2021-08-14,Nevada,4.71875
2021-08-14,New Hampshire,No Data
2021-08-14,New Jersey,0.8172043010752689
2021-08-14,New Mexico,2.2857142857142856
2021-08-14,New York,0.7040816326530612
2021-08-14,North Carolina,2.4814814814814814
2021-08-14,North Dakota,No Data
2021-08-14,Ohio,1.152542372881356
2021-08-14,Oklahoma,5.073170731707317
2021-08-14,Oregon,2.1904761904761907
2021-08-14,Pennsylvania,0.6538461538461539
2021-08-14,Puerto Rico,0.118
2021-08-14,Rhode Island,No Data
2021-08-14,South Carolina,3.611111111111111
2021-08-14,South Dakota,No Data
2021-08-14,Tennessee,4.309859154929577
2021-08-14,Texas,4.5967213114754095
2021-08-14,Utah,1.3529411764705883
2021-08-14,Vermont,No Data
2021-08-14,Virginia,0.9655172413793104
2021-08-14,Washington,1.4743589743589745
2021-08-14,West Virginia,1.7777777777777777
2021-08-14,Wisconsin,0.7796610169491526
2021-08-14,Wyoming,2.8333333333333335
2021-08-21,Alabama,8.235294117647058
2021-08-21,Alaska,3.2857142857142856
2021-08-21,Arizona,2.4324324324324325
2021-08-21,Arkansas,7.483870967741935
2021-08-21,California,2.1846153846153844
2021-08-21,Colorado,1.4915254237288136
2021-08-21,Connecticut,0.6388888888888888
2021-08-21,Delaware,1.9
2021-08-21,Maryland,1.0735294117647058
2021-08-21,Florida,11.685840707964601
2021-08-21,Georgia,6.3545454545454545
2021-08-21,Hawaii,2.5
2021-08-21,Idaho,2.3
